name,doi,Abstract,keywords,URL,key,Algorithm used,Accuracy,base network/provided network,github,application,Dataset,Notes,favourite,Category
"T. Ahmad, H. Mao, L. Lin and G. Tang, ""Action Recognition Using Attention-Joints Graph Convolutional Neural Networks,"" in IEEE Access, vol. 8, pp. 305-313, 2020.",doi: 10.1109/ACCESS.2019.2961770,"Abstract: Human skeleton contains significant information about actions, therefore, it is quite intuitive to incorporate skeletons in human action recognition. Human skeleton resembles to a graph where body joints and bones mimic to graph nodes and edges. This resemblance of human skeleton to graph structure is the main motivation to apply graph convolutional neural network for human action recognition. Results show that the discriminant contribution of different joints is not equal for different actions. Therefore, we propose to use attention-joints that correspond to joints significantly contributing to the specific actions. Features corresponding to only these attention-joints are computed and assigned as node features of the graph. In our method, node features (also termed as attention-joint features) include the i) distances of attention-joints from the center-of-gravity of human body, ii) distances between adjacent attention-joints and iii) joints flow features. The proposed method gives a simple but more efficient representation of skeleton sequences by concatenating more relative distances and relative coordinates to other joints. The proposed methodology has been evaluated on single image Stanford 40-Actions dataset, as well as on temporal skeleton-based action recognition PKU-MDD and NTU-RGBD datasets. Results show that this framework outperforms existing state-of-the-art methods.","keywords: {bone;convolutional neural nets;feature extraction;graph theory;image motion analysis;image representation;image sequences;human action recognition;human skeleton;body joints;graph nodes;graph structure;node features;attention-joint features;human body;adjacent attention-joints;joints flow features;skeleton sequences;single image Stanford 40-Actions dataset;temporal skeleton-based action recognition PKU-MDD;attention-joints graph convolutional neural networks;Convolution;Convolutional neural networks;Joints;Videos;Image edge detection;Human action recognition;attention-joints;graph convolutional neural network},",URL: http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8939357&isnumber=8948470,75,GNN,,CNN/GNN,,Pose Estimation,PKU-MDD/NTU-RGBD,,2,
"K. Xia, J. Huang and H. Wang, ""LSTM-CNN Architecture for Human Activity Recognition,"" in IEEE Access, vol. 8, pp. 56855-56866, 2020.",doi: 10.1109/ACCESS.2020.2982225,"Abstract: In the past years, traditional pattern recognition methods have made great progress. However, these methods rely heavily on manual feature extraction, which may hinder the generalization model performance. With the increasing popularity and success of deep learning methods, using these techniques to recognize human actions in mobile and wearable computing scenarios has attracted widespread attention. In this paper, a deep neural network that combines convolutional layers with long short-term memory (LSTM) was proposed. This model could extract activity features automatically and classify them with a few model parameters. LSTM is a variant of the recurrent neural network (RNN), which is more suitable for processing temporal sequences. In the proposed architecture, the raw data collected by mobile sensors was fed into a two-layer LSTM followed by convolutional layers. In addition, a global average pooling layer (GAP) was applied to replace the fully connected layer after convolution for reducing model parameters. Moreover, a batch normalization layer (BN) was added after the GAP layer to speed up the convergence, and obvious results were achieved. The model performance was evaluated on three public datasets (UCI, WISDM, and OPPORTUNITY). Finally, the overall accuracy of the model in the UCI-HAR dataset is 95.78%, in the WISDM dataset is 95.85%, and in the OPPORTUNITY dataset is 92.63%. The results show that the proposed model has higher robustness and better activity detection capability than some of the reported results. It can not only adaptively extract activity features, but also has fewer parameters and higher accuracy.","keywords: {feature extraction;learning (artificial intelligence);pattern recognition;recurrent neural nets;wearable computers;WISDM dataset;OPPORTUNITY dataset;activity detection capability;UCI-HAR dataset;public datasets;GAP layer;batch normalization layer;fully connected layer;global average pooling layer;two-layer LSTM;mobile sensors;raw data;temporal sequences;recurrent neural network;activity features;short-term memory;convolutional layers;deep neural network;wearable computing scenarios;mobile computing scenarios;human actions;deep learning methods;generalization model performance;manual feature extraction;pattern recognition methods;human activity recognition;LSTM-CNN architecture;Feature extraction;Activity recognition;Acceleration;Deep learning;Sensor phenomena and characterization;Accelerometers;Human activity recognition;convolution;long short-term memory;mobile sensors},",URL: http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9043535&isnumber=8948470,76,LSTM/CNN,.9578/.9585/.9263,LSTM/CNN,,Pose Estimation,UCI-HAR/WISDM/OPPORTUNITY,,2,
"A. Essien and C. Giannetti, ""A Deep Learning Model for Smart Manufacturing Using Convolutional LSTM Neural Network Autoencoders,"" in IEEE Transactions on Industrial Informatics, vol. 16, no. 9, pp. 6069-6078, Sept. 2020.",doi: 10.1109/TII.2020.2967556,"Abstract: Time-series forecasting is applied to many areas of smart factories, including machine health monitoring, predictive maintenance, and production scheduling. In smart factories, machine speed prediction can be used to dynamically adjust production processes based on different system conditions, optimize production throughput, and minimize energy consumption. However, making accurate data-driven machine speed forecasts is challenging. Given the complex nature of industrial manufacturing process data, predictive models that are robust to noise and can capture the temporal and spatial distributions of input time-series signals are prerequisites for accurate forecasting. Motivated by recent deep learning studies in smart manufacturing, in this article, we propose an end-to-end model for multistep machine speed prediction. The model comprises a deep convolutional LSTM encoder-decoder architecture. Extensive empirical analyses using real-world data obtained from a metal packaging plant in the United Kingdom demonstrate the value of the proposed method when compared with the state-of-the-art predictive models.","keywords: {convolutional neural nets;intelligent manufacturing systems;learning (artificial intelligence);manufacturing processes;production engineering computing;production facilities;recurrent neural nets;time series;smart manufacturing;convolutional LSTM neural network autoencoders;time-series forecasting;smart factories;machine health monitoring;predictive maintenance;production scheduling;industrial manufacturing process data;temporal distributions;spatial distributions;multistep machine speed prediction;deep convolutional LSTM encoder-decoder architecture;data-driven machine speed forecasts;Forecasting;Convolution;Smart manufacturing;Predictive models;Logic gates;Manufacturing processes;Convolutional long short-term memory (ConvLSTM);deep learning (DL);industry 4.0;stacked autoencoders;time-series forecasting},",URL: http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8967003&isnumber=9106618,77,CNN/LSTM,,CNN/LSTM,,Time-series forecasting,,,,
"A. Masood et al., ""Cloud-Based Automated Clinical Decision Support System for Detection and Diagnosis of Lung Cancer in Chest CT,"" in IEEE Journal of Translational Engineering in Health and Medicine, vol. 8, pp. 1-13, 2020, Art no. 4300113.",doi: 10.1109/JTEHM.2019.2955458,"Abstract: Lung cancer is a major cause for cancer-related deaths. The detection of pulmonary cancer in the early stages can highly increase survival rate. Manual delineation of lung nodules by radiologists is a tedious task. We developed a novel computer-aided decision support system for lung nodule detection based on a 3D Deep Convolutional Neural Network (3DDCNN) for assisting the radiologists. Our decision support system provides a second opinion to the radiologists in lung cancer diagnostic decision making. In order to leverage 3-dimensional information from Computed Tomography (CT) scans, we applied median intensity projection and multi-Region Proposal Network (mRPN) for automatic selection of potential region-of-interests. Our Computer Aided Diagnosis (CAD) system has been trained and validated using LUNA16, ANODE09, and LIDC-IDR datasets; the experiments demonstrate the superior performance of our system, attaining sensitivity, specificity, AUROC, accuracy, of 98.4%, 92%, 96% and 98.51% with 2.1 FPs per scan. We integrated cloud computing, trained and validated our Cloud-Based 3DDCNN on the datasets provided by Shanghai Sixth People's Hospital, as well as LUNA16, ANODE09, and LIDC-IDR. Our system outperformed the state-of-the-art systems and obtained an impressive 98.7% sensitivity at 1.97 FPs per scan. This shows the potentials of deep learning, in combination with cloud computing, for accurate and efficient lung nodule detection via CT imaging, which could help doctors and radiologists in treating lung cancer patients.","keywords: {cancer;cloud computing;computerised tomography;convolutional neural nets;decision support systems;diagnostic radiography;feature extraction;image classification;image reconstruction;image segmentation;learning (artificial intelligence);lung;medical image processing;patient diagnosis;tumours;LIDC-IDR dataset;ANODE09 dataset;cloud-based 3DDCNN;multiregion proposal network;computer-aided decision support system;pulmonary cancer;cancer-related deaths;clinical decision support system;lung cancer patients;lung nodule detection;integrated cloud computing;LUNA16 dataset;computer aided diagnosis system;potential region-of-interests;computed tomography scans;3-dimensional information;lung cancer diagnostic decision making;radiologists;3D deep convolutional neural network;Cancer;Lung;Computed tomography;Training;Solid modeling;Cloud computing;Machine learning;Computer-aided diagnosis;nodule detection;cloud computing;computed tomography;lung cancer},",URL: http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8922769&isnumber=8943243,78,CNN,0.9851,3D CNN,,Lung Cancer detection,Shanghai Sixth People's Hospital/LUNA16/ANODE09/LIDC-IDR.,,,1
"C. Li et al., ""An Underwater Image Enhancement Benchmark Dataset and Beyond,"" in IEEE Transactions on Image Processing, vol. 29, pp. 4376-4389, 2020.",doi: 10.1109/TIP.2019.2955241,"Abstract: Underwater image enhancement has been attracting much attention due to its significance in marine engineering and aquatic robotics. Numerous underwater image enhancement algorithms have been proposed in the last few years. However, these algorithms are mainly evaluated using either synthetic datasets or few selected real-world images. It is thus unclear how these algorithms would perform on images acquired in the wild and how we could gauge the progress in the field. To bridge this gap, we present the first comprehensive perceptual study and analysis of underwater image enhancement using large-scale real-world images. In this paper, we construct an Underwater Image Enhancement Benchmark (UIEB) including 950 real-world underwater images, 890 of which have the corresponding reference images. We treat the rest 60 underwater images which cannot obtain satisfactory reference images as challenging data. Using this dataset, we conduct a comprehensive study of the state-of-the-art underwater image enhancement algorithms qualitatively and quantitatively. In addition, we propose an underwater image enhancement network (called Water-Net) trained on this benchmark as a baseline, which indicates the generalization of the proposed UIEB for training Convolutional Neural Networks (CNNs). The benchmark evaluations and the proposed Water-Net demonstrate the performance and limitations of state-of-the-art algorithms, which shed light on future research in underwater image enhancement. The dataset and code are available at https://li-chongyi.github.io/proj_benchmark.html.","keywords: {convolutional neural nets;image enhancement;learning (artificial intelligence);marine engineering;object detection;statistical analysis;CNN;convolutional neural networks;Water-Net;UIEB;underwater image enhancement benchmark dataset;satisfactory reference images;reference images;real-world underwater images;underwater image enhancement algorithms;underwater image enhancement network;Image enhancement;Convolutional neural networks;Deep learning;Image restoration;Object detection;Statistical analysis;Underwater technology;Underwater image enhancement;real-world underwater images;comprehensive evaluation;deep learning},",URL: http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8917818&isnumber=8835130,79,CNN,,UIEB,https://li-chongyi.github.io/proj_benchmark.html,Underwater Image Enhancement,https://li-chongyi.github.io/proj_benchmark.html,,,
"X. Xu and H. Liu, ""ECG Heartbeat Classification Using Convolutional Neural Networks,"" in IEEE Access, vol. 8, pp. 8614-8619, 2020.",doi: 10.1109/ACCESS.2020.2964749,"Abstract: Electrocardiogram (ECG) data recorded by Holter monitors are extremely hard to analyze manually. Therefore, it is necessary to automatically analyze and categorize each heartbeat using a computer-aid method. Because convolutional neural networks (CNNs) can classify ECG signals automatically without trivial manual feature extractions, they have received extensive attention. However, it is anticipated that improving the existing CNN classifiers might provide better overall accuracy, sensitivity, positive predictivity, etc. In this study, we proposed a CNN based ECG heartbeat classification method. Based on the MIT-BIH arrhythmia database, our proposed method achieved a sensitivity of 99.2% and positive predictivity of 99.4% in VEB detection; a sensitivity of 97.5% and positive predictivity of 99.1% in SVEB detection; and an overall accuracy of 99.43%. Our proposed system can be directly implemented on wearable devices to monitor long-term ECG data.","keywords: {convolutional neural nets;electrocardiography;medical signal detection;signal classification;positive predictivity;long-term ECG data;convolutional neural networks;electrocardiogram data;Holter monitors;computer-aid method;ECG signals;CNN classifiers;MIT-BIH arrhythmia database;CNN based ECG heartbeat classification method;SVEB detection;Heart beat;Training;Electrocardiography;Neurons;Convolution;Databases;Convolutional neural networks;Heartbeats;Holter;convolutional neural networks;MIT-BIH arrhythmia database;electrocardiogram signals},",URL: http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8952723&isnumber=8948470,80,CNN,0.9943,CNN,,ECG Heartbeat Classification,,,,4
"S. Ma, X. Zhang, C. Jia, Z. Zhao, S. Wang and S. Wang, ""Image and Video Compression With Neural Networks: A Review,"" in IEEE Transactions on Circuits and Systems for Video Technology, vol. 30, no. 6, pp. 1683-1698, June 2020.",doi: 10.1109/TCSVT.2019.2910119,"Abstract: In recent years, the image and video coding technologies have advanced by leaps and bounds. However, due to the popularization of image and video acquisition devices, the growth rate of image and video data is far beyond the improvement of the compression ratio. In particular, it has been widely recognized that there are increasing challenges of pursuing further coding performance improvement within the traditional hybrid coding framework. Deep convolution neural network which makes the neural network resurge in recent years and has achieved great success in both artificial intelligent and signal processing fields, also provides a novel and promising solution for image and video compression. In this paper, we provide a systematic, comprehensive and up-to-date review of neural network-based image and video compression techniques. The evolution and development of neural network-based compression methodologies are introduced for images and video respectively. More specifically, the cutting-edge video coding techniques by leveraging deep learning and HEVC framework are presented and discussed, which promote the state-of-the-art video coding performance substantially. Moreover, the end-to-end image and video coding frameworks based on neural networks are also reviewed, revealing interesting explorations on next generation image and video coding frameworks/standards. The most significant research works on the image and video coding related topics using neural networks are highlighted, and future trends are also envisioned. In particular, the joint compression on semantic and visual information is tentatively explored to formulate high efficiency signal representation structure for both human vision and machine vision, which are the two dominant signal receptors in the age of artificial intelligence.","keywords: {computer vision;convolutional neural nets;data compression;learning (artificial intelligence);signal representation;video coding;end-to-end image coding;cutting-edge video coding;neural network-based compression methodologies;neural network-based image;convolution neural network;hybrid coding framework;Image coding;Biological neural networks;Video coding;Video compression;Redundancy;Transform coding;Neural network;deep learning;CNN;image compression;video coding},",URL: http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8693636&isnumber=9108324,81,CNN,,HEVC,,Image and Video Compression,,,,
"F. Aziz, A. Ul Haq, S. Ahmad, Y. Mahmoud, M. Jalal and U. Ali, ""A Novel Convolutional Neural Network-Based Approach for Fault Classification in Photovoltaic Arrays,"" in IEEE Access, vol. 8, pp. 41889-41904, 2020.",doi: 10.1109/ACCESS.2020.2977116,"Abstract: Fault diagnosis in photovoltaic (PV) arrays is essential in enhancing power output as well as the useful life span of a PV system. Severe faults such as Partial Shading (PS) and high impedance faults, low location mismatch, and the presence of Maximum Power Point Tracking (MPPT) make fault detection challenging in harsh environmental conditions. In this regard, there have been several attempts made by various researchers to identify PV array faults. However, most of the previous work has focused on fault detection and classification in only a few faulty scenarios. This paper presents a novel approach that utilizes deep two-dimensional (2-D) Convolutional Neural Networks (CNN) to extract features from 2-D scalograms generated from PV system data in order to effectively detect and classify PV system faults. An in-depth quantitative evaluation of the proposed approach is presented and compared with previous classification methods for PV array faults - both classical machine learning based and deep learning based. Unlike contemporary work, five different faulty cases (including faults in PS - on which no work has been done before in the machine learning domain) have been considered in our study, along with the incorporation of MPPT. We generate a consistent dataset over which to compare ours and previous approaches, to make for the first (to the best of our knowledge) comprehensive and meaningful comparative evaluation of fault diagnosis. It is observed that the proposed method involving fine-tuned pre-trained CNN outperforms existing techniques, achieving a high fault detection accuracy of 73.53%. Our study also highlights the importance of representative and discriminative features to classify faults (as opposed to the use of raw data), especially in the noisy scenario, where our method achieves the best performance of 70.45%. We believe that our work will serve to guide future research in PV system fault diagnosis.","keywords: {convolutional neural nets;fault diagnosis;feature extraction;learning (artificial intelligence);maximum power point trackers;pattern classification;photovoltaic power systems;power engineering computing;power generation faults;solar cell arrays;MPPT;high fault detection accuracy;PV system fault diagnosis;convolutional neural network-based approach;fault classification;photovoltaic arrays;power output;useful life span;severe faults;high impedance faults;low location mismatch;maximum power point tracking;harsh environmental conditions;convolutional neural networks;PV system data;PV system faults;classification methods;PV array faults;deep learning;machine learning domain;Circuit faults;Fault detection;Fault diagnosis;Machine learning;Impedance;Maximum power point trackers;Feature extraction;Photovoltaic array;maximum power point tracking;fault classification;convolutional neural network;scalograms;transfer learning},",URL: http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9018018&isnumber=8948470,82,R-CNN,0.73,CNN,,Photovoltaic Arrays Classification,,,,
"S. Zhai, D. Shang, S. Wang and S. Dong, ""DF-SSD: An Improved SSD Object Detection Algorithm Based on DenseNet and Feature Fusion,"" in IEEE Access, vol. 8, pp. 24344-24357, 2020.",doi: 10.1109/ACCESS.2020.2971026,"Abstract: In view of the lack of feature complementarity between the feature layers of Single Shot MultiBox Detector (SSD) and the weak detection ability of SSD for small objects, we propose an improved SSD object detection algorithm based on Dense Convolutional Network (DenseNet) and feature fusion, which is called DF-SSD. On the basis of SSD, we design the feature extraction network DenseNet-S-32-1 with reference to the dense connection of DenseNet, and replace the original backbone network VGG-16 of SSD with DenseNet-S-32-1 to enhance the feature extraction ability of the model. In the part of multi-scale detection, a fusion mechanism of multi-scale feature layers is introduced to organically combine low-level visual features and high-level semantic features in the network structure. Finally, a residual block is established before the object prediction to further improve the model performance. We train the DF-SSD model from scratch. The experimental results show that our model DF-SSD with 300 × 300 input achieves 81.4% mAP, 79.0% mAP, and 29.5% mAP on PASCAL VOC 2007, VOC 2012, and MS COCO datasets, respectively. Compared with SSD, the detection accuracy of DF-SSD on VOC 2007 is improved by 3.1% mAP. DF-SSD requires only 1/2 parameters to SSD and 1/9 parameters to Faster RCNN. We inject more semantic information into DF-SSD, which makes it have advanced detection effect on small objects and objects with specific relationships.","keywords: {computer vision;convolutional neural nets;feature extraction;image fusion;learning (artificial intelligence);object detection;feature extraction network;DenseNet-S-32-1;weak detection ability;feature complementarity;improved SSD object detection algorithm;DF-SSD model;high-level semantic features;low-level visual features;multiscale feature layers;multiscale detection;feature extraction ability;feature fusion;Feature extraction;Object detection;Semantics;Convolution;Detectors;Task analysis;Adaptation models;DenseNet;feature fusion;multi-scale object detection;SSD},",URL: http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8978787&isnumber=8948470,83,R-CNN,0.814,Dense CNN,,Object Detection,COCO,,1,
"W. Zhang, K. Ma, J. Yan, D. Deng and Z. Wang, ""Blind Image Quality Assessment Using a Deep Bilinear Convolutional Neural Network,"" in IEEE Transactions on Circuits and Systems for Video Technology, vol. 30, no. 1, pp. 36-47, Jan. 2020.",doi: 10.1109/TCSVT.2018.2886771,"Abstract: We propose a deep bilinear model for blind image quality assessment that works for both synthetically and authentically distorted images. Our model constitutes two streams of deep convolutional neural networks (CNNs), specializing in two distortion scenarios separately. For synthetic distortions, we first pre-train a CNN to classify the distortion type and the level of an input image, whose ground truth label is readily available at a large scale. For authentic distortions, we make use of a pre-train CNN (VGG-16) for the image classification task. The two feature sets are bilinearly pooled into one representation for a final quality prediction. We fine-tune the whole network on the target databases using a variant of stochastic gradient descent. The extensive experimental results show that the proposed model achieves state-of-the-art performance on both synthetic and authentic IQA databases. Furthermore, we verify the generalizability of our method on the large-scale Waterloo Exploration Database, and demonstrate its competitiveness using the group maximum differentiation competition methodology.","keywords: {convolutional neural nets;feature extraction;gradient methods;image classification;image representation;learning (artificial intelligence);natural scenes;stochastic processes;visual databases;blind image quality assessment;deep bilinear convolutional neural network;authentically distorted images;deep convolutional neural networks;distortion scenarios;synthetic distortions;distortion type;input image;authentic distortions;pre-train CNN;image classification task;final quality prediction;synthetic IQA databases;authentic IQA databases;Databases;Degradation;Nonlinear distortion;Image quality;Image coding;Convolutional neural networks;Blind image quality assessment;convolutional neural networks;bilinear pooling;gMAD competition;perceptual image processing},",URL: http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8576582&isnumber=8951039,84,CNN,,biCNN,,dehazing,Waterloo Exploration Database,,2,
"A. M. Elbir and A. K. Papazafeiropoulos, ""Hybrid Precoding for Multiuser Millimeter Wave Massive MIMO Systems: A Deep Learning Approach,"" in IEEE Transactions on Vehicular Technology, vol. 69, no. 1, pp. 552-563, Jan. 2020.",doi: 10.1109/TVT.2019.2951501,"Abstract: In multi-user millimeter wave (mmWave) multiple-input-multiple-output (MIMO) systems, hybrid precoding is a crucial task to lower the complexity and cost while achieving a sufficient sum-rate. Previous works on hybrid precoding were usually based on optimization or greedy approaches. These methods either provide higher complexity or have sub-optimum performance. Moreover, the performance of these methods mostly relies on the quality of the channel data. In this work, we propose a deep learning (DL) framework to improve the performance and provide less computation time as compared to conventional techniques. In fact, we design a convolutional neural network for MIMO (CNN-MIMO) that accepts as input an imperfect channel matrix and gives the analog precoder and combiners at the output. The procedure includes two main stages. First, we develop an exhaustive search algorithm to select the analog precoder and combiners from a predefined codebook maximizing the achievable sum-rate. Then, the selected precoder and combiners are used as output labels in the training stage of CNN-MIMO where the input-output pairs are obtained. We evaluate the performance of the proposed method through numerous and extensive simulations and show that the proposed DL framework outperforms conventional techniques. Overall, CNN-MIMO provides a robust hybrid precoding scheme in the presence of imperfections regarding the channel matrix. On top of this, the proposed approach exhibits less computation time with comparison to the optimization and codebook based approaches.","keywords: {convolutional neural nets;learning (artificial intelligence);matrix algebra;millimetre wave communication;MIMO communication;multiuser channels;network coding;optimisation;precoding;telecommunication computing;wireless channels;multiple-input-multiple-output systems;multiuser mmWave MIMO systems;CNN-MIMO;output labels;predefined codebook;combiner selection;exhaustive search algorithm;output combining;analog precoder selection;imperfect channel matrix;convolutional neural network;computation time;channel data quality;sum-rate;deep learning;massive MIMO systems;multiuser millimeter wave systems;hybrid precoding;Precoding;MIMO communication;Radio frequency;Training;Antennas;Phase shifters;Channel estimation;Hybrid precoding;mmWave systems;multi-user MIMO transmission;deep learning;convolutional neural networks},",URL: http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8890805&isnumber=8961346,85,CNN,,CNN-MIMO,,Multiuser Millimeter Wave Massive MIMO Systems,,FPGA,,
"B. Du et al., ""Deep Irregular Convolutional Residual LSTM for Urban Traffic Passenger Flows Prediction,"" in IEEE Transactions on Intelligent Transportation Systems, vol. 21, no. 3, pp. 972-985, March 2020.",doi: 10.1109/TITS.2019.2900481,"Abstract: Urban traffic passenger flows prediction is practically important to facilitate many real applications including transportation management and public safety. Recently, deep learning based approaches are proposed to learn the spatio-temporal characteristics of the traffic passenger flows. However, it is still very challenging to handle some complex factors such as hybrid transportation lines, mixed traffic, transfer stations, and some extreme weathers. Considering the multi-channel and irregularity properties of urban traffic passenger flows in different transportation lines, a more efficient and fine-grained deep spatio-temporal feature learning model is necessary. In this paper, we propose a deep irregular convolutional residual LSTM network model called DST-ICRL for urban traffic passenger flows prediction. We first model the passenger flows among different traffic lines in a transportation network into multi-channel matrices analogous to the RGB pixel matrices of an image. Then, we propose a deep learning framework that integrates irregular convolutional residential network and LSTM units to learn the spatial-temporal feature representations. To fully utilize the historical passenger flows, we sample both the short-term and long-term historical traffic data, which can capture the periodicity and trend of the traffic passenger flows. In addition, we also fuse other external factors further to facilitate a real-time prediction. We conduct extensive experiments on different types of traffic passenger flows datasets including subway, taxi and bus flows in Beijing as well as bike flows in New York. The results show that the proposed DST-ICRL significantly outperforms both traditional and deep learning based urban traffic passenger flows prediction methods.","keywords: {automobiles;convolutional neural nets;learning (artificial intelligence);recurrent neural nets;road traffic;traffic engineering computing;transportation;real-time prediction;transportation network;DST-ICRL;urban traffic passenger flow prediction;deep irregular convolutional residual LSTM network model;fine-grained deep spatio-temporal feature;spatio-temporal feature;deep learning based approaches;bus flows;taxi;traffic passenger flows;long-term historical traffic data;irregular convolutional residential network;traffic lines;Predictive models;Deep learning;Market research;Data models;Convolution;Public transportation;Traffic passenger flows prediction;irregular convolutional neural network;LSTM;importance sampling;urban computing},",URL: http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8664646&isnumber=9018398,86,LSTM,,CNN-LSTM,https://github.com/RingBDStack/Deep-Convolutional-Residual-LSTM,,"BIKENYC, SUBWAYBJ, BUSBJ, TAXIBJ",,,
"L. Li et al., ""Semi-Supervised Image Dehazing,"" in IEEE Transactions on Image Processing, vol. 29, pp. 2766-2779, 2020.",doi: 10.1109/TIP.2019.2952690,"Abstract: We present an effective semi-supervised learning algorithm for single image dehazing. The proposed algorithm applies a deep Convolutional Neural Network (CNN) containing a supervised learning branch and an unsupervised learning branch. In the supervised branch, the deep neural network is constrained by the supervised loss functions, which are mean squared, perceptual, and adversarial losses. In the unsupervised branch, we exploit the properties of clean images via sparsity of dark channel and gradient priors to constrain the network. We train the proposed network on both the synthetic data and real-world images in an end-to-end manner. Our analysis shows that the proposed semi-supervised learning algorithm is not limited to synthetic training datasets and can be generalized well to real-world images. Extensive experimental results demonstrate that the proposed algorithm performs favorably against the state-of-the-art single image dehazing algorithms on both benchmark datasets and real-world images.","keywords: {convolutional neural nets;image restoration;supervised learning;unsupervised learning;semisupervised image dehazing;semisupervised learning algorithm;deep convolutional neural network;unsupervised learning branch;supervised loss functions;mean squared losses;perceptual losses;adversarial losses;clean images;real-world images;deep CNN;dark channel;Training;Semisupervised learning;Image color analysis;Image restoration;Convolution;Atmospheric modeling;Deep learning;Image dehazing;deep learning;semi-supervised learning},",URL: http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8902220&isnumber=8835130,87,CNN,,CNN,,dehazing,"SOTS, RTTS",,,
"B. K. Savaş and Y. Becerikli, ""Real Time Driver Fatigue Detection System Based on Multi-Task ConNN,"" in IEEE Access, vol. 8, pp. 12491-12498, 2020.",doi: 10.1109/ACCESS.2020.2963960,"Abstract: Changes and progresses in information technologies have played an important role in the development of intelligent vehicle systems in recent years. Driver fatigue is an important factor in vehicle accidents. For this reason, traffic accidents involving driver fatigue and driver carelessness have been followed by researchers. In this article, a Multi-tasking Convulational Neural Network (ConNN*) model is proposed to detect driver drowsiness/fatigue. Eye and mouth characteristics are utilized for driver's behavior model. Changes to these characteristics are used to monitor driver fatigue. With the proposed Multi-task ConNN model, unlike the studies in the literature, both mouth and eye information are classified into a single model at the same time. Driver fatigue is determined by calculating eyes' closure duration/Percentage of eye closure (PERCLOS) and yawning frequency/frequency of mouth (FOM). In this study, the fatigue degree of the driver is divided into 3 classes. The proposed model achieved 98.81% fatigue detection on YawdDD and NthuDDD dataset. The success of the model is presented comparatively.","keywords: {behavioural sciences computing;convolutional neural nets;face recognition;road accidents;road safety;road vehicles;traffic engineering computing;NthuDDD dataset;YawdDD dataset;frequency of mouth;yawning frequency;percentage of eye closure;PERCLOS;multitasking convulational neural network model;driver carelessness;intelligent vehicle systems;time driver fatigue detection system;fatigue degree;Multitask ConNN model;Fatigue;Vehicles;Videos;Mouth;Face;Accidents;Neural networks;Convolutional neural network;driver fatigue detection;PERCLOS;FOM},",URL: http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8949469&isnumber=8948470,88,CNN,0.988,MT-CNN,,Driver Fatigue Detection,"YawDD, NTHU-DDD",,2,
"S. S. Sarwar, A. Ankit and K. Roy, ""Incremental Learning in Deep Convolutional Neural Networks Using Partial Network Sharing,"" in IEEE Access, vol. 8, pp. 4615-4628, 2020.",doi: 10.1109/ACCESS.2019.2963056,"Abstract: Deep convolutional neural network (DCNN) based supervised learning is a widely practiced approach for large-scale image classification. However, retraining these large networks to accommodate new, previously unseen data demands high computational time and energy requirements. Also, previously seen training samples may not be available at the time of retraining. We propose an efficient training methodology and incrementally growing DCNN to learn new tasks while sharing part of the base network. Our proposed methodology is inspired by transfer learning techniques, although it does not forget previously learned tasks. An updated network, for learning new set of classes, is formed using previously learned convolutional layers (shared from initial part of base network) with addition of few newly added convolutional kernels included in the later layers of the network. We employed a `clone-and-branch' technique with calibration, which allows the network to learn new tasks (containing classes with similar features as old tasks) one after another without any performance loss in old tasks. We evaluated the proposed scheme on several recognition applications. The classification accuracy achieved by our approach is comparable to the regular incremental learning approach (where networks are updated with new training samples only, without any network sharing), while achieving energy efficiency, reduction in storage requirements, memory access and training time.","keywords: {convolutional neural nets;image classification;learning (artificial intelligence);learned convolutional layers;convolutional kernels;regular incremental learning approach;deep convolutional neural networks;partial network sharing;DCNN;supervised learning;large-scale image classification;transfer learning techniques;clone-and-branch technique;Task analysis;Training;Memory management;Convolutional neural networks;Energy consumption;Feature extraction;Training data;Incremental learning;catastrophic forgetting;lifelong learning;energy-efficient learning;network sharing},",URL: http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8945358&isnumber=8948470,89,CNN,0.7423,CNN,,Incremental Learning,ImageNet,,1,
